resale_price,registered_year,engine_capacity,transmission_type,kms_driven,max_power,seats,mileage,car_age,body_type_MUV,body_type_Other,body_type_SUV,body_type_Sedan,insurance_2,insurance_Comprehensive,insurance_Not Available,insurance_Third Party,insurance_Third Party insurance,insurance_Zero Dep,owner_type_2,owner_type_3,owner_type_4,owner_type_5,owner_type_6,fuel_type_Diesel,fuel_type_Electric,fuel_type_LPG,fuel_type_Petrol,city_Bangalore,city_Chennai,city_Delhi,city_Gurgaon,city_Hyderabad,city_Jaipur,city_Kolkata,city_Mumbai,city_Other,city_Pune
545000.0,2015,1197,0,40000.0,100.0,5.0,21.4,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1000000.0,2015,2179,1,70000.0,100.0,7.0,17.6,10,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
450000.0,2015,1197,0,70000.0,100.0,5.0,20.85,10,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
450000.0,2015,1197,0,70000.0,100.0,5.0,20.85,10,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
160000.0,2015,1086,0,80000.0,100.0,5.0,19.81,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
470000.0,2015,1197,0,70000.0,100.0,5.0,17.19,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
360000.0,2015,1047,0,120000.0,100.0,5.0,27.28,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
200000.0,2015,1086,0,60000.0,100.0,5.0,19.81,10,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
370000.0,2015,1196,0,20000.0,100.0,7.0,15.37,10,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
120000.0,2015,1086,0,30000.0,100.0,5.0,18.9,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
330000.0,2015,1198,0,70000.0,100.0,5.0,18.0,10,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
475000.0,2015,1197,0,60000.0,100.0,5.0,20.14,10,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
686000.0,2015,1462,0,50000.0,100.0,5.0,21.56,10,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1250000.0,2015,1493,0,60000.0,100.0,5.0,23.7,10,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1100000.0,2015,1396,0,60000.0,100.0,5.0,23.7,10,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
395000.0,2015,998,1,20000.0,100.0,5.0,23.95,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
350000.0,2015,998,0,40000.0,100.0,5.0,26.6,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
289000.0,2015,1496,0,50000.0,100.0,5.0,17.6,10,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
282000.0,2015,1364,0,150000.0,100.0,5.0,21.43,10,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1000000.0,2015,998,0,10000.0,100.0,5.0,18.2,10,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
785000.0,2015,1462,0,30000.0,100.0,5.0,20.65,10,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
300000.0,2015,1498,0,150000.0,100.0,5.0,22.7,10,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
397000.0,2015,2360,1,80000.0,100.0,5.0,11.3,10,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
375000.0,2015,1248,0,20000.0,100.0,5.0,26.59,10,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
100000.0,2015,998,0,120000.0,100.0,5.0,20.92,10,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
397000.0,2015,2360,1,80000.0,100.0,5.0,11.3,10,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
675000.0,2015,1197,0,40000.0,100.0,5.0,21.01,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
465000.00000000006,2015,1197,0,60000.0,100.0,5.0,20.14,10,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
480000.0,2015,1197,0,80000.0,100.0,5.0,20.85,10,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
225000.0,2015,796,0,100000.0,100.0,5.0,22.74,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
